ticker,panel,cap_tier
NXPI,US,large
ORLY,US,large
OXY,US,large
ODFL,US,large
OMC,US,large
ON,US,large
OKE,US,large
ORCL,US,large
OTIS,US,large
PCAR,US,large
PKG,US,large
PLTR,US,large
PANW,US,large
PSKY,US,large
PH,US,large
PAYX,US,large
PYPL,US,large
PNR,US,large
PEP,US,large
PFE,US,large
PCG,US,large
PM,US,large
PSX,US,large
PNW,US,large
PNC,US,large
PPG,US,large
PPL,US,large
PFG,US,large
PG,US,large
PGR,US,large
PLD,US,large
PRU,US,large
PEG,US,large
PTC,US,large
PSA,US,large
PHM,US,large
PWR,US,large
QCOM,US,large
DGX,US,large
Q,US,large
RL,US,large
RJF,US,large
RDDT,US,large
RTX,US,large
O,US,large
REG,US,large
REGN,US,large
RF,US,large
RSG,US,large
RMD,US,large
RVTY,US,large
HOOD,US,large
ROK,US,large
ROL,US,large
ROP,US,large
ROST,US,large
RCL,US,large
SPGI,US,large
CRM,US,large
SNDK,US,large
SBAC,US,large
SLB,US,large
STX,US,large
SRE,US,large
NOW,US,large
SHW,US,large
SPG,US,large
SWKS,US,large
SJM,US,large
SW,US,large
SNA,US,large
SOLV,US,large
SO,US,large
LUV,US,large
SWK,US,large
SBUX,US,large
STT,US,large
STLD,US,large
STE,US,large
SYK,US,large
SMCI,US,large
SYF,US,large
SNPS,US,large
SYY,US,large
TMUS,US,large
TROW,US,large
TTWO,US,large
TPR,US,large
TRGP,US,large
TGT,US,large
TEL,US,large
TDY,US,large
TER,US,large
TSLA,US,large
TXN,US,large
TPL,US,large
TXT,US,large
TMO,US,large
TJX,US,large
TKO,US,large
TSCO,US,large
TT,US,large
TDG,US,large
TRV,US,large
TRMB,US,large
TFC,US,large
TYL,US,large
TSN,US,large
USB,US,large
UBER,US,large
UDR,US,large
ULTA,US,large
UNP,US,large
UAL,US,large
UPS,US,large
URI,US,large
UNH,US,large
UHS,US,large
VLO,US,large
VEEV,US,large
VTR,US,large
VLTO,US,large
VRSN,US,large
VRSK,US,large
VZ,US,large
VRTX,US,large
VRT,US,large
VTRS,US,large
VICI,US,large
V,US,large
VST,US,large
VMRK,US,large
VMC,US,large
WRB,US,large
GWW,US,large
WAB,US,large
WMT,US,large
DIS,US,large
WBD,US,large
WM,US,large
WAT,US,large
WEC,US,large
